ticker,date,sector,n_headlines,vader_mean
AMD,2023-11-13,Tech,7,0.05177142857142858
AMD,2023-11-14,Tech,10,0.33284
AMD,2023-11-15,Tech,9,0.07304444444444444
AMD,2023-11-16,Tech,8,0.135825
AMD,2023-11-17,Tech,5,0.31522
AMD,2023-11-20,Tech,4,0.273625
AMD,2023-11-21,Tech,8,0.2738875
AMD,2023-11-22,Tech,9,0.23511111111111113
AMD,2023-11-24,Tech,11,0.24132727272727272
AMD,2023-11-27,Tech,8,0.194275
AMD,2023-11-28,Tech,7,0.2864
AMD,2023-11-29,Tech,8,0.1353125
AMD,2023-11-30,Tech,6,0.012016666666666667
AMD,2023-12-01,Tech,3,0.08333333333333333
AMD,2023-12-04,Tech,6,0.14688333333333334
AMD,2023-12-05,Tech,3,0.4037
AMD,2023-12-06,Tech,10,0.15131999999999998
AMD,2023-12-07,Tech,20,0.19411
AMD,2023-12-08,Tech,7,0.23472857142857143
AMD,2023-12-11,Tech,21,0.0692904761904762
AMD,2023-12-12,Tech,15,0.12891333333333332
AMD,2023-12-13,Tech,12,0.2665
AMD,2023-12-14,Tech,8,0.1313875
AMD,2023-12-15,Tech,11,0.1929909090909091
AMD,2023-12-18,Tech,49,0.07490408163265307
AMD,2023-12-19,Tech,6,0.21230000000000002
AMD,2023-12-20,Tech,5,-0.012939999999999997
AMD,2023-12-21,Tech,8,0.22331249999999997
AMD,2023-12-22,Tech,5,0.18956
AMD,2023-12-26,Tech,10,0.21273
AMD,2023-12-27,Tech,4,0.27227500000000004
AMD,2023-12-28,Tech,10,0.11855
AMD,2023-12-29,Tech,8,0.08962500000000001
AMGN,2020-01-02,Healthcare,7,0.20258571428571429
AMGN,2020-01-06,Healthcare,2,0.47635
AMGN,2020-01-07,Healthcare,1,0.0
AMGN,2020-01-09,Healthcare,1,0.6369
AMGN,2020-01-10,Healthcare,3,0.32926666666666665
AMGN,2020-01-13,Healthcare,4,0.036275000000000016
AMGN,2020-01-14,Healthcare,3,0.2873
AMGN,2020-01-16,Healthcare,1,0.0
AMGN,2020-01-17,Healthcare,3,-0.0172
AMGN,2020-01-21,Healthcare,2,0.39185000000000003
AMGN,2020-01-22,Healthcare,1,0.296
AMGN,2020-01-23,Healthcare,3,0.24546666666666664
AMGN,2020-01-24,Healthcare,3,0.36669999999999997
AMGN,2020-01-27,Healthcare,5,0.12248
AMGN,2020-01-28,Healthcare,2,0.15019999999999997
AMGN,2020-01-29,Healthcare,1,0.0
AMGN,2020-01-30,Healthcare,11,0.15636363636363637
AMGN,2020-01-31,Healthcare,15,-0.07254666666666668
AMGN,2020-02-03,Healthcare,6,0.06186666666666666
AMGN,2020-02-04,Healthcare,2,0.5370999999999999
AMGN,2020-02-05,Healthcare,2,0.10534999999999997
AMGN,2020-02-06,Healthcare,2,0.27115
AMGN,2020-02-07,Healthcare,1,0.4939
AMGN,2020-02-10,Healthcare,3,-0.12040000000000001
AMGN,2020-02-13,Healthcare,2,0.0
AMGN,2020-02-19,Healthcare,1,0.4939
AMGN,2020-02-21,Healthcare,4,0.0407
AMGN,2020-02-24,Healthcare,1,0.6124
AMGN,2020-02-25,Healthcare,1,-0.1779
AMGN,2020-02-26,Healthcare,4,0.38632500000000003
AMGN,2020-02-27,Healthcare,4,0.238175
AMGN,2020-02-28,Healthcare,2,-0.11905
AMGN,2020-03-02,Healthcare,1,0.2263
